10954,18005,0.89,7500,0.01,0.1
6783,6153,0.39,7500,0.01,0.2
6280,5805,0.37,7500,0.01,0.3
5545,5408,0.34,7500,0.01,0.4
5220,5175,0.32,7500,0.01,0.5
5148,5129,0.32,7500,0.01,0.6
5068,5062,0.33,7500,0.01,0.7
5022,5030,0.32,7500,0.01,0.8
5003,5006,0.32,7500,0.01,0.9
5009,5011,0.32,7500,0.01,1.0
4998,5000,0.32,7500,0.01,1.1
4998,5000,0.31,7500,0.01,1.2
4997,5000,0.31,7500,0.01,1.3
4998,5000,0.31,7500,0.01,1.4
4997,5000,0.31,7500,0.01,1.5
4995,5000,0.32,7500,0.01,1.6
4999,5000,0.31,7500,0.01,1.7
4998,5000,0.31,7500,0.01,1.8
4999,5000,0.32,7500,0.01,1.9
5004,5011,0.31,7500,0.06,0.1
4995,5000,0.32,7500,0.06,0.2
11917,12021,0.73,7500,0.06,0.3
11325,7892,0.56,7500,0.06,0.4
8640,7070,0.46,7500,0.06,0.5
8305,6937,0.45,7500,0.06,0.6
7208,6359,0.42,7500,0.06,0.7
6739,6128,0.40,7500,0.06,0.8
6123,5780,0.40,7500,0.06,0.9
5778,5551,0.36,7500,0.06,1.0
5538,5372,0.35,7500,0.06,1.1
5158,5138,0.34,7500,0.06,1.2
5158,5128,0.33,7500,0.06,1.3
5165,5145,0.33,7500,0.06,1.4
5035,5040,0.33,7500,0.06,1.5
5023,5031,0.32,7500,0.06,1.6
5004,5010,0.32,7500,0.06,1.7
4994,5002,0.34,7500,0.06,1.8
4994,5000,0.32,7500,0.06,1.9
7902,8456,0.51,7500,0.11,0.1
7136,6467,0.41,7500,0.11,0.2
5238,5202,0.34,7500,0.11,0.3
5016,5023,0.32,7500,0.11,0.4
4994,5000,0.33,7500,0.11,0.5
4995,5000,0.32,7500,0.11,0.6
9464,7481,0.53,7500,0.11,0.7
14656,9611,0.71,7500,0.11,0.8
19956,11648,0.93,7500,0.11,0.9
15378,9300,0.69,7500,0.11,1.0
13640,9039,0.65,7500,0.11,1.1
12648,8819,0.60,7500,0.11,1.2
11602,8399,0.57,7500,0.11,1.3
9986,7900,0.50,7500,0.11,1.4
9921,7857,0.51,7500,0.11,1.5
9020,7409,0.49,7500,0.11,1.6
8287,7104,0.46,7500,0.11,1.7
7501,6728,0.44,7500,0.11,1.8
7052,6450,0.41,7500,0.11,1.9
4994,5000,0.32,7500,0.16,0.1
9660,8692,0.56,7500,0.16,0.2
7328,6590,0.43,7500,0.16,0.3
5975,5763,0.36,7500,0.16,0.4
5322,5271,0.34,7500,0.16,0.5
4996,5007,0.32,7500,0.16,0.6
4995,5000,0.33,7500,0.16,0.7
4998,5000,0.31,7500,0.16,0.8
4997,5000,0.32,7500,0.16,0.9
12232,7869,0.62,7500,0.16,1.0
17027,9615,0.78,7500,0.16,1.1
23416,11986,1.02,7500,0.16,1.2
16910,9589,0.76,7500,0.16,1.3
15157,9424,0.71,7500,0.16,1.4
14907,9315,0.67,7500,0.16,1.5
13191,9004,0.62,7500,0.16,1.6
12262,8827,0.60,7500,0.16,1.7
11856,8678,0.58,7500,0.16,1.8
10660,8214,0.53,7500,0.16,1.9
7893,7636,0.49,7500,0.21,0.1
5257,5242,0.34,7500,0.21,0.2
4989,5002,0.33,7500,0.21,0.3
9339,7220,0.51,7500,0.21,0.4
14973,9856,0.72,7500,0.21,0.5
9586,7965,0.50,7500,0.21,0.6
7153,6572,0.42,7500,0.21,0.7
6092,5855,0.37,7500,0.21,0.8
5575,5474,0.35,7500,0.21,0.9
5160,5153,0.33,7500,0.21,1.0
5001,5011,0.34,7500,0.21,1.1
4993,5000,0.32,7500,0.21,1.2
4997,5000,0.32,7500,0.21,1.3
9758,6237,0.49,7500,0.21,1.4
14688,7727,0.67,7500,0.21,1.5
18921,8955,0.81,7500,0.21,1.6
22390,10154,0.93,7500,0.21,1.7
26613,11472,1.10,7500,0.21,1.8
18510,9879,0.80,7500,0.21,1.9
5013,5023,0.33,7500,0.26,0.1
10561,8765,0.59,7500,0.26,0.2
5551,5473,0.35,7500,0.26,0.3
5010,5015,0.33,7500,0.26,0.4
9385,6840,0.50,7500,0.26,0.5
14160,8935,0.69,7500,0.26,0.6
12273,9062,0.60,7500,0.26,0.7
10047,8095,0.52,7500,0.26,0.8
8080,7112,0.44,7500,0.26,0.9
6448,6174,0.38,7500,0.26,1.0
5626,5537,0.37,7500,0.26,1.1
5211,5194,0.33,7500,0.26,1.2
5026,5036,0.33,7500,0.26,1.3
5000,5003,0.32,7500,0.26,1.4
4994,5000,0.33,7500,0.26,1.5
10303,6177,0.52,7500,0.26,1.6
14631,7383,0.66,7500,0.26,1.7
18968,8565,0.82,7500,0.26,1.8
22012,9365,0.89,7500,0.26,1.9
6626,6241,0.41,7500,0.31,0.1
5418,5368,0.34,7500,0.31,0.2
7414,6056,0.42,7500,0.31,0.3
9950,8235,0.53,7500,0.31,0.4
6576,6265,0.39,7500,0.31,0.5
5256,5239,0.33,7500,0.31,0.6
4998,5002,0.34,7500,0.31,0.7
11131,6876,0.54,7500,0.31,0.8
17557,9578,0.78,7500,0.31,0.9
14586,9636,0.67,7500,0.31,1.0
11863,9030,0.59,7500,0.31,1.1
9980,8255,0.52,7500,0.31,1.2
8901,7679,0.48,7500,0.31,1.3
6549,6203,0.39,7500,0.31,1.4
6008,5819,0.37,7500,0.31,1.5
5557,5479,0.34,7500,0.31,1.6
5209,5194,0.33,7500,0.31,1.7
5011,5023,0.32,7500,0.31,1.8
4999,5002,0.33,7500,0.31,1.9
5047,5055,0.32,7500,0.36,0.1
9389,7643,0.51,7500,0.36,0.2
5041,5046,0.32,7500,0.36,0.3
10212,7238,0.53,7500,0.36,0.4
10728,8610,0.54,7500,0.36,0.5
7388,6804,0.42,7500,0.36,0.6
5361,5333,0.35,7500,0.36,0.7
5037,5039,0.33,7500,0.36,0.8
10950,6576,0.55,7500,0.36,0.9
15209,8201,0.69,7500,0.36,1.0
15254,9829,0.69,7500,0.36,1.1
13693,9495,0.63,7500,0.36,1.2
11407,8897,0.57,7500,0.36,1.3
10151,8373,0.53,7500,0.36,1.4
9164,7799,0.49,7500,0.36,1.5
7172,6647,0.44,7500,0.36,1.6
6137,5932,0.38,7500,0.36,1.7
5564,5484,0.36,7500,0.36,1.8
5282,5266,0.34,7500,0.36,1.9
5663,5583,0.36,7500,0.41,0.1
6216,5993,0.39,7500,0.41,0.2
10548,7875,0.55,7500,0.41,0.3
7377,6780,0.42,7500,0.41,0.4
7973,5784,0.47,7500,0.41,0.5
12527,7912,0.60,7500,0.41,0.6
12835,9389,0.61,7500,0.41,0.7
8949,7790,0.49,7500,0.41,0.8
6525,6271,0.39,7500,0.41,0.9
5218,5211,0.34,7500,0.41,1.0
9540,5816,0.50,7500,0.41,1.1
15225,7730,0.68,7500,0.41,1.2
21196,9810,0.89,7500,0.41,1.3
16278,9945,0.72,7500,0.41,1.4
15562,9860,0.70,7500,0.41,1.5
14480,9774,0.67,7500,0.41,1.6
13064,9458,0.62,7500,0.41,1.7
10205,8491,0.53,7500,0.41,1.8
9456,8093,0.50,7500,0.41,1.9
6529,6035,0.40,7500,0.46,0.1
9210,7374,0.52,7500,0.46,0.2
5982,5850,0.37,7500,0.46,0.3
12714,8674,0.63,7500,0.46,0.4
7482,6924,0.43,7500,0.46,0.5
5085,5092,0.33,7500,0.46,0.6
14418,8437,0.67,7500,0.46,0.7
13213,9612,0.63,7500,0.46,0.8
10044,8474,0.53,7500,0.46,0.9
7379,6858,0.43,7500,0.46,1.0
5455,5422,0.35,7500,0.46,1.1
5117,5121,0.33,7500,0.46,1.2
12723,6682,0.59,7500,0.46,1.3
22188,9908,0.92,7500,0.46,1.4
17228,9977,0.75,7500,0.46,1.5
16118,9924,0.72,7500,0.46,1.6
15068,9874,0.71,7500,0.46,1.7
14120,9752,0.65,7500,0.46,1.8
11343,9017,0.59,7500,0.46,1.9
7051,6353,0.42,7500,0.51,0.1
9167,7305,0.51,7500,0.51,0.2
8524,6480,0.47,7500,0.51,0.3
6957,6522,0.40,7500,0.51,0.4
10443,6929,0.53,7500,0.51,0.5
11528,9129,0.58,7500,0.51,0.6
8767,7788,0.48,7500,0.51,0.7
11414,6754,0.54,7500,0.51,0.8
16852,8963,0.74,7500,0.51,0.9
14575,9846,0.66,7500,0.51,1.0
12770,9495,0.63,7500,0.51,1.1
9254,8131,0.50,7500,0.51,1.2
6190,6009,0.38,7500,0.51,1.3
5244,5234,0.35,7500,0.51,1.4
12645,6461,0.58,7500,0.51,1.5
16588,7527,0.71,7500,0.51,1.6
26177,10567,1.03,7500,0.51,1.7
18319,9996,0.78,7500,0.51,1.8
16727,9971,0.74,7500,0.51,1.9
7213,6448,0.45,7500,0.56,0.1
6597,6347,0.42,7500,0.56,0.2
7428,6939,0.43,7500,0.56,0.3
12838,8655,0.62,7500,0.56,0.4
6444,6227,0.38,7500,0.56,0.5
12651,7859,0.60,7500,0.56,0.6
12494,9465,0.62,7500,0.56,0.7
7540,7013,0.43,7500,0.56,0.8
12271,6942,0.58,7500,0.56,0.9
17800,8995,0.79,7500,0.56,1.0
14998,9908,0.68,7500,0.56,1.1
12992,9647,0.63,7500,0.56,1.2
8600,7695,0.47,7500,0.56,1.3
6861,6542,0.41,7500,0.56,1.4
5644,5586,0.35,7500,0.56,1.5
12764,6435,0.58,7500,0.56,1.6
16256,7434,0.70,7500,0.56,1.7
